agency,programme,indicator,2025,target_2026,agency_id,ministry,type,sector,agency_type
AGENCY 77 - REGION 7: CUYUNI/MAZARUNI,774 - health services,morbidity rate,17%,10%,agency 77,region 7: cuyuni/mazaruni,outcome,health,local government
AGENCY 77 - REGION 7: CUYUNI/MAZARUNI,775 - agriculture,number of shade houses constructed,0,1,agency 77,region 7: cuyuni/mazaruni,output,agriculture,local government
AGENCY 77 - REGION 7: CUYUNI/MAZARUNI,775 - agriculture,number of farmers trained,1500,2000,agency 77,region 7: cuyuni/mazaruni,output,agriculture,local government
AGENCY 77 - REGION 7: CUYUNI/MAZARUNI,775 - agriculture,number of farm visit conducted by extension officer,1523,3900,agency 77,region 7: cuyuni/mazaruni,output,agriculture,local government
AGENCY 77 - REGION 7: CUYUNI/MAZARUNI,775 - agriculture,volume of livestock production295.6 m,295.6 MT,360 MT,agency 77,region 7: cuyuni/mazaruni,outcome,agriculture,local government
AGENCY 77 - REGION 7: CUYUNI/MAZARUNI,775 - agriculture,volume of crop production,1912.91,2100 MT,agency 77,region 7: cuyuni/mazaruni,outcome,agriculture,local government
AGENCY 77 - REGION 7: CUYUNI/MAZARUNI,775 - agriculture,acreage under cultivation (open-field agriculture),3,4,agency 77,region 7: cuyuni/mazaruni,outcome,agriculture,local government
AGENCY 78 - REGION 8: POTARO/SIPARUNI,781 - regional administration and finance,"level of technical support given to rdcs, ipvcs and ndcs through: meetings held",36,38,agency 78,region 8: potaro/siparuni,output,administration,local government
AGENCY 78 - REGION 8: POTARO/SIPARUNI,781 - regional administration and finance,community outreaches conducted,23,29,agency 78,region 8: potaro/siparuni,output,social protection and welfare,local government
AGENCY 78 - REGION 8: POTARO/SIPARUNI,781 - regional administration and finance,number of reports on local government matters disseminated,12,12,agency 78,region 8: potaro/siparuni,output,governance,local government
AGENCY 78 - REGION 8: POTARO/SIPARUNI,781 - regional administration and finance,number of skilled personnel recruited,0,1,agency 78,region 8: potaro/siparuni,output,administration,local government
AGENCY 78 - REGION 8: POTARO/SIPARUNI,781 - regional administration and finance,number of villages supported with the preparation of their village sustainability plans,5/30,30/30,agency 78,region 8: potaro/siparuni,outcome,economic development,local government
AGENCY 78 - REGION 8: POTARO/SIPARUNI,781 - regional administration and finance,number of village/community consultations held regarding regional development matters,26,30,agency 78,region 8: potaro/siparuni,output,governance,local government
AGENCY 78 - REGION 8: POTARO/SIPARUNI,781 - regional administration and finance,regional disaster preparedness plan established and implemented,Yes,Yes,agency 78,region 8: potaro/siparuni,output,environment_climate_risk,local government
AGENCY 78 - REGION 8: POTARO/SIPARUNI,781 - regional administration and finance,number of villages/communities with access to internet within the region,26,29,agency 78,region 8: potaro/siparuni,outcome,ict_communication,local government
AGENCY 78 - REGION 8: POTARO/SIPARUNI,782 - public works,number of communities accessing electricity,27,30,agency 78,region 8: potaro/siparuni,outcome,utilities,local government
AGENCY 78 - REGION 8: POTARO/SIPARUNI,782 - public works,number of communities accessing potable water,24,30,agency 78,region 8: potaro/siparuni,outcome,utilities,local government
AGENCY 78 - REGION 8: POTARO/SIPARUNI,782 - public works,"number of roads, trails, bridges, and buildings maintained: km of roads maintained",87,70,agency 78,region 8: potaro/siparuni,output,infrastructure_transport,local government
AGENCY 78 - REGION 8: POTARO/SIPARUNI,782 - public works,"number of roads, trails, bridges, and buildings maintained: bridges",8,6,agency 78,region 8: potaro/siparuni,output,infrastructure_transport,local government
AGENCY 78 - REGION 8: POTARO/SIPARUNI,782 - public works,"number of roads, trails, bridges, and buildings maintained: building",80,100,agency 78,region 8: potaro/siparuni,output,infrastructure_transport,local government
AGENCY 78 - REGION 8: POTARO/SIPARUNI,783 - education delivery,percentage of teachers trained at nursery,23%,100%,agency 78,region 8: potaro/siparuni,output,education,local government
AGENCY 78 - REGION 8: POTARO/SIPARUNI,783 - education delivery,percentage of teachers trained at primary,22%,100%,agency 78,region 8: potaro/siparuni,output,education,local government
AGENCY 78 - REGION 8: POTARO/SIPARUNI,783 - education delivery,percentage of teachers trained at secondary,50%,100%,agency 78,region 8: potaro/siparuni,output,education,local government
AGENCY 78 - REGION 8: POTARO/SIPARUNI,783 - education delivery,percentage of teachers with a bachelor's degree,52%,62%,agency 78,region 8: potaro/siparuni,outcome,education,local government
AGENCY 78 - REGION 8: POTARO/SIPARUNI,783 - education delivery,student to trained teacher ratio: nursery,48:1,15:1,agency 78,region 8: potaro/siparuni,output,education,local government
AGENCY 78 - REGION 8: POTARO/SIPARUNI,783 - education delivery,student to trained teacher ratio: primary,53:1,20:1,agency 78,region 8: potaro/siparuni,output,education,local government
AGENCY 78 - REGION 8: POTARO/SIPARUNI,783 - education delivery,student to trained teacher ratio: secondary,30:1,30:1,agency 78,region 8: potaro/siparuni,output,education,local government
AGENCY 78 - REGION 8: POTARO/SIPARUNI,783 - education delivery,percentage of pupils scoring 50% & over in all subjects at ngsa,"26% (Boys:20%, Girls:32%)",36%,agency 78,region 8: potaro/siparuni,outcome,education,local government
AGENCY 78 - REGION 8: POTARO/SIPARUNI,783 - education delivery,matriculation rate,"6% (Boys: 5%, Girls:7%)",15%,agency 78,region 8: potaro/siparuni,outcome,education,local government
AGENCY 78 - REGION 8: POTARO/SIPARUNI,783 - education delivery,performance index of hinterland/riverine vs coastal students at ngsa,0.5,1,agency 78,region 8: potaro/siparuni,outcome,education,local government
AGENCY 78 - REGION 8: POTARO/SIPARUNI,783 - education delivery,performance index of hinterland/riverine vs coastal students at csec,0.2,1,agency 78,region 8: potaro/siparuni,outcome,education,local government
AGENCY 78 - REGION 8: POTARO/SIPARUNI,783 - education delivery,percentage of schools monitored at nursery,100%,100%,agency 78,region 8: potaro/siparuni,outcome,education,local government
AGENCY 78 - REGION 8: POTARO/SIPARUNI,783 - education delivery,percentage of schools monitored at primary,100%,100%,agency 78,region 8: potaro/siparuni,outcome,education,local government
AGENCY 78 - REGION 8: POTARO/SIPARUNI,783 - education delivery,percentage of schools monitored at secondary,100%,100%,agency 78,region 8: potaro/siparuni,outcome,education,local government
AGENCY 78 - REGION 8: POTARO/SIPARUNI,783 - education delivery,average number of textbooks per pupil in primary,12,12,agency 78,region 8: potaro/siparuni,outcome,education,local government
AGENCY 78 - REGION 8: POTARO/SIPARUNI,783 - education delivery,"share of textbooks per student by grade – primary: grades 1-4, a minimum of 5 textbook per child",100.00%,,agency 78,region 8: potaro/siparuni,outcome,education,local government
AGENCY 78 - REGION 8: POTARO/SIPARUNI,783 - education delivery,"share of textbooks per student by grade – primary: grades 5-6, a minimum of 10 textbook per child",100.00%,,agency 78,region 8: potaro/siparuni,outcome,education,local government
AGENCY 78 - REGION 8: POTARO/SIPARUNI,783 - education delivery,average number of textbooks per pupil in secondary,17,17,agency 78,region 8: potaro/siparuni,outcome,education,local government
AGENCY 78 - REGION 8: POTARO/SIPARUNI,783 - education delivery,"share of textbooks per student by grade – secondary: grades 7-9, a minimum of 6 textbook per student",100.00%,,agency 78,region 8: potaro/siparuni,outcome,education,local government
AGENCY 78 - REGION 8: POTARO/SIPARUNI,783 - education delivery,"share of textbooks per student by grade – secondary: grades 10-13, a minimum of 10 textbook per student",100.00%,,agency 78,region 8: potaro/siparuni,outcome,education,local government
AGENCY 78 - REGION 8: POTARO/SIPARUNI,783 - education delivery,percentage of students accessing exercise books,100%,100%,agency 78,region 8: potaro/siparuni,outcome,education,local government
AGENCY 78 - REGION 8: POTARO/SIPARUNI,783 - education delivery,percentage of schools with internet access: nursery,100%,100%,agency 78,region 8: potaro/siparuni,outcome,education,local government
AGENCY 78 - REGION 8: POTARO/SIPARUNI,783 - education delivery,percentage of schools with internet access: primary,100%,100%,agency 78,region 8: potaro/siparuni,outcome,education,local government
AGENCY 78 - REGION 8: POTARO/SIPARUNI,783 - education delivery,percentage of schools with internet access: secondary,100%,100%,agency 78,region 8: potaro/siparuni,outcome,education,local government
AGENCY 78 - REGION 8: POTARO/SIPARUNI,783 - education delivery,percentage of schools with electricity access: nursery,100%,100%,agency 78,region 8: potaro/siparuni,outcome,education,local government
AGENCY 78 - REGION 8: POTARO/SIPARUNI,783 - education delivery,percentage of schools with electricity access: primary,100%,100%,agency 78,region 8: potaro/siparuni,outcome,education,local government
AGENCY 78 - REGION 8: POTARO/SIPARUNI,783 - education delivery,percentage of schools with electricity access: secondary,100%,100%,agency 78,region 8: potaro/siparuni,outcome,education,local government
AGENCY 78 - REGION 8: POTARO/SIPARUNI,784 - health services,percentage of facilities offering holistic primary health care services (phc),100%,100%,agency 78,region 8: potaro/siparuni,outcome,health,local government
AGENCY 78 - REGION 8: POTARO/SIPARUNI,784 - health services,percentage of regional and district hospitals offering obstetric services,100%,100%,agency 78,region 8: potaro/siparuni,outcome,health,local government
AGENCY 78 - REGION 8: POTARO/SIPARUNI,784 - health services,percentage of regional and district hospitals offering surgical services (ss),100%,100%,agency 78,region 8: potaro/siparuni,outcome,health,local government
AGENCY 78 - REGION 8: POTARO/SIPARUNI,784 - health services,percentage of essential drugs and medical supplies that have at least 3 months buffer stock,90%,95%,agency 78,region 8: potaro/siparuni,output,health,local government
AGENCY 78 - REGION 8: POTARO/SIPARUNI,784 - health services,number of trained health workers recruited,36,45,agency 78,region 8: potaro/siparuni,output,health,local government
AGENCY 78 - REGION 8: POTARO/SIPARUNI,784 - health services,percentage of pregnant women with anaemia,<3%,<3%,agency 78,region 8: potaro/siparuni,outcome,health,local government
AGENCY 78 - REGION 8: POTARO/SIPARUNI,784 - health services,percentage of children under 5 years with malnutrition,<3%,<3%,agency 78,region 8: potaro/siparuni,outcome,social protection and welfare,local government
AGENCY 78 - REGION 8: POTARO/SIPARUNI,784 - health services,"adolescent birth rate per 1,000 women","<5/1,000","<5/1,000",agency 78,region 8: potaro/siparuni,outcome,social protection and welfare,local government
AGENCY 78 - REGION 8: POTARO/SIPARUNI,784 - health services,percentage of communities involved in health care issues,100%,100%,agency 78,region 8: potaro/siparuni,outcome,health,local government
AGENCY 78 - REGION 8: POTARO/SIPARUNI,784 - health services,incidence of infectious diseases,"<150/10,000","<150/10,000",agency 78,region 8: potaro/siparuni,outcome,health,local government
AGENCY 78 - REGION 8: POTARO/SIPARUNI,784 - health services,"incidence of dental caries in adults vs children (per 1,000 pop)","10vs15/1,000 ","10vs15/1,000",agency 78,region 8: potaro/siparuni,outcome,health,local government
AGENCY 78 - REGION 8: POTARO/SIPARUNI,784 - health services,mortality rate,"<25/10,000","<25/10,000",agency 78,region 8: potaro/siparuni,outcome,health,local government
AGENCY 78 - REGION 8: POTARO/SIPARUNI,784 - health services,morbidity rate,"<250/10,000","<250/10,000",agency 78,region 8: potaro/siparuni,outcome,health,local government
AGENCY 78 - REGION 8: POTARO/SIPARUNI,785 - agriculture,number of d&i structures maintained,22,8,agency 78,region 8: potaro/siparuni,output,infrastructure_transport,local government
AGENCY 78 - REGION 8: POTARO/SIPARUNI,785 - agriculture,length of channel maintained:,15.4km,70km,agency 78,region 8: potaro/siparuni,output,infrastructure_transport,local government
AGENCY 78 - REGION 8: POTARO/SIPARUNI,785 - agriculture,acreage of new farmlands made available,10,20,agency 78,region 8: potaro/siparuni,outcome,agriculture,local government
AGENCY 78 - REGION 8: POTARO/SIPARUNI,785 - agriculture,acreage of farmlands affected by flooding,,,agency 78,region 8: potaro/siparuni,outcome,agriculture,local government
AGENCY 78 - REGION 8: POTARO/SIPARUNI,785 - agriculture,number of farmers affected by flooding,,,agency 78,region 8: potaro/siparuni,outcome,agriculture,local government
AGENCY 78 - REGION 8: POTARO/SIPARUNI,785 - agriculture,km of dams cleared,19.05,20,agency 78,region 8: potaro/siparuni,output,infrastructure_transport,local government
AGENCY 78 - REGION 8: POTARO/SIPARUNI,785 - agriculture,number of farmers within the regions,1028,">1,000",agency 78,region 8: potaro/siparuni,outcome,agriculture,local government
AGENCY 78 - REGION 8: POTARO/SIPARUNI,785 - agriculture,acreage of croplands under cultivation,,,agency 78,region 8: potaro/siparuni,outcome,agriculture,local government
